sample	AHL	IPTG	gate	mean	sd
R	0.025	0.5	2	0.975882670853286	0.00263013755488578
R	0.025	1	1	0.0147360531693502	0.00226612475038151
R	0.025	1	2	0.98526394683065	0.00226612475038153
R	0.05	0	1	0.991672580418831	0.00496275228048543
R	0.05	0	2	0.00832741958116913	0.00496275228048544
R	0.05	0.0625	1	0.0713700824200917	0.0282064765990844
R	0.05	0.0625	2	0.928629917579908	0.0282064765990844
R	0.05	0.125	1	0.017962706517554	0.00751060321763916
R	0.05	0.125	2	0.982037293482446	0.00751060321763915
R	0.05	0.25	1	0.0102915721870367	0.00472895471132633
R	0.05	0.25	2	0.989708427812963	0.00472895471132632
R	0.05	0.5	1	0.00126349810830798	0.00012348660974923
R	0.05	0.5	2	0.998736501891692	0.000123486609749262
R	0.05	1	1	0.00141566214665684	0.000664329256034459
R	0.05	1	2	0.998584337853343	0.00066432925603446
